country_name,consulting_day,coronavirus_cases,coronavirus_deaths,coronavirus_recovered
Hong Kong,2020-05-03,"1,040 ",4,864
Kyrgyzstan,2020-05-03,769 ,8,527
Lithuania,2020-05-03,"1,406 ",46,632
Slovakia,2020-05-03,"1,407 ",24,608
North Macedonia,2020-05-03,"1,506 ",82,852
Bolivia,2020-05-03,"1,470 ",71,159
New Zealand,2020-05-03,"1,487 ",20,"1,266"
Slovenia,2020-05-03,"1,439 ",94,239
Guinea,2020-05-03,"1,586 ",7,405
Bulgaria,2020-05-03,"1,594 ",72,287
Cuba,2020-05-03,"1,611 ",66,765
Bosnia and Herzegovina,2020-05-03,"1,839 ",72,779
Estonia,2020-05-03,"1,699 ",53,256
Azerbaijan,2020-05-03,"1,894 ",25,"1,411"
Iceland,2020-05-03,"1,798 ",10,"1,706"
Cameroon,2020-05-03,"2,077 ",64,953
Croatia,2020-05-03,"2,088 ",77,"1,463"
Uzbekistan,2020-05-03,"2,118 ",9,"1,271"
Nigeria,2020-05-03,"2,388 ",85,351
Ghana,2020-05-03,"2,169 ",18,229
Iraq,2020-05-03,"2,219 ",95,"1,473"
Armenia,2020-05-03,"2,273 ",33,"1,010"
Afghanistan,2020-05-03,"2,469 ",72,331
Greece,2020-05-03,"2,620 ",143,"1,374"
Oman,2020-05-03,"2,483 ",12,750
Hungary,2020-05-03,"2,942 ",335,625
Bahrain,2020-05-03,"3,284 ",8,"1,568"
Thailand,2020-05-03,"2,966 ",54,"2,732"
Luxembourg,2020-05-03,"3,812 ",92,"3,318"
Argentina,2020-05-03,"4,681 ",237,"1,320"
Moldova,2020-05-03,"4,052 ",124,"1,334"
Finland,2020-05-03,"5,176 ",220,"3,000"
Kuwait,2020-05-03,"4,619 ",33,"1,703"
Algeria,2020-05-03,"4,295 ",459,"1,872"
Morocco,2020-05-03,"4,729 ",173,"1,256"
South Africa,2020-05-03,"6,336 ",123,"2,549"
Egypt,2020-05-03,"6,193 ",415,"1,522"
Malaysia,2020-05-03,"6,176 ",103,"4,326"
Colombia,2020-05-03,"7,285 ",324,"1,666"
Panama,2020-05-03,"7,090 ",197,641
